,text,sentiment
569, apple my wifi is on amp working on everything else but my ipad i m so pissed days it s been like this get it ,0
1905,gva lounge in sight macs and pcs undetermined number of ipxs ,1
2740,rt i just want to delete all my emails without turning ,1
1902,gtat creditors want to question apple s jeff williams aapl http t co flfwmj lkh,1
60, aapl apple inc aapl is over http t co ,1
642, apple well done you my printer don t work since your ,0
873, justinbieber get on it,1
125, aapl one everyone is getting wrong when it comes apple ,1
2113,i m so done with this piece of shit phone why doesn t it ever send me notifications when taylor tweets fuck u ,0
3305,shipping estimates for inch imac improve to to weeks mac blog http t co hvy rurd c ,1
371, afrobugeisha watch it ,1
660, apple why was the iphone ever created,0
524, apple i figured out issue on my it wasnt a but a new hidden folder that stores our images http t co vekie qldp,0
787, engadget it happened to me ,1
613, apple sometimes i have to restart my phone to make siri do speak selection and it s annoying ,0
1533,apple dec daily profit sh weekly profits of sh http t co uwis gwj ,1
1811,first to own digital languages is the new leader of the internet ,1
3649,why did my ipod change order of songs in playlist i always listen what flying fuck isnt okay ,0
2362,my apps http t co ttezgarbxd http t co buawltg i,1
2566,rt left the hoos we now got iphones are dire suck ur mum,0
534, apple i want my pictures back,1
2115,i m still mad ,0
1730,dear now it s my fault that your pos macbook airquotes pro does not have fast ports drop the pro in the future ,0
1890,gotta love the autocorrect in iphone nothing makes a person more illiterate than that fuck me quit guessing and not let us correct ,0
1978,holiday weekend v who came out on top http t co wepq cuncr http t co pnx qkuymh,1
1259,any other users have a random showing up on their screen since to ,0
980, onerepublic this is awesome can i join ,1
568, apple my phone just died at and i feel betrayed ,0
2271,last yeari bought and from now they aren t available for me to stream and has no real answer ,0
3595,what every young should know from legendary designer susan kare http t co vqhjj bwc http t co nhththag g,1
3709,yeah thing i m inspired by is apple of course so apple here is ad from http t co s mgehg bo ,1
698, what macbook apple i need my macbook byke http t co ytcqloplz,1
8, aapl dec in one crazy minute w m shares ms downgrade to market weight amp trim its stock from to ,1
2211,it s been over a month of store visits and calls and still my iphone doesn t receive texts from non or customers ,0
1465,apple may be forced to ipod as demand surges aapl http t co ap huz wf ,1
1185, more details exposed http t co pevfamkc o,1
1983,hoping does not cave should allow other browser engines could soon come ios http t co wgny xoard,1
932, neimanmarcus utilizing ibeacons for to send messages to passbook http t co cvnq luhno via ,1
1742,details of the apple inc ipad mini http t co qeun yxwmp ,1
3291,s o to for charging me for two ringtones and then not letting me use them ,0
339, use ur next ad http t co rjpyqmflwa,1
77, aapl apple s iphone china unicom lead ,1
1795,final for monday december http t co ocz egzx h via hamzei ,1
153, apple dominates mobile online shopping at percent in us http t co fqopihobo,1
193, apple s pullback a buy opportunity http t co yeamt v qf,1
2283,literally have been trying to get my id re enabled since november why in the actual fuck is this so difficult ,0
319, faces b lawsuit over ipod allegations http t co uave ez w ,0
2142,ipad mini first startup http t co vghn zzs via ,1
2715,rt get three way facetimeing im sick of google hangouts ,1
1894,great coverage of cyber monday data but show me the top items by store like this for http t co rfznoacg c,1
3560,very displeased with the lack of themed ,0
687, apple youre shit fix my problem,0
270, and games of names monument valley amp http t co zj qfn lkp,1
2536,review harman kardon esquire mini is the best iphone speakerphone you http t co fn x aeixw ,1
1151, get your shit or i ll guy a samsung galaxy s http t co lehpmkxk a,0
3691,worst thing i ever did was update the software on my computer update is trash ,0
1898,great why and created their own programming languages http t co wqz xufgtw ,1
3678,why you dying so fast phone fuck you ,0
293, aapl bidu ntes and more are on our stocks to buy list http t co cqeje pffw,1
1092, not just you i agree we need to refocus on peace there is to much violence in the usa nowdays,1
1784,facebook ceo mark zuckerberg criticizes apple aapl http t co evrsnvdexe,0
1201, awesome paid and apps that are free for a limited time via http t co aaaksiigp ,1
982, onerepublic what the heck is playing on the computer across from brent,1
46, aapl apple antitrust case hangs in the balance http t co bvwhmjbtk ,1
395, apple since updating my there is a that does not delete videos and free up memory forcing http t co ajddtf nn,0
159, apple supply for its own stores http t co pxycbv gd via ,1
260, for and in http t co erwyty hex,1
3472,thestreet gets price boost on back of strong demand http t co f qtgibddq,1
1698,could apple inc sell million apple watches in http t co sltes zkfe ,1
3012,rt rolled out to months ago and just overtook in webgl support levels ,1
3620,where is kenneth ,1
2468,omg this girl is still using my email to try and login to her act you have the wrong email stop trying to ,1
1133, umo games yeah no applecare here haha ,0
577, apple of course that s not their mother fucking ,0
1080, swiftkey oh in wish you guys would port hebrew from the android version already i have swapping abck and forth,0
2078,icloud drive quirk delete a folder with stuff it reappears with same stuff ,0
3662,why i hate http t co inkcjyw lq,0
1057, steveliesman whatever it takes to bring this stock down you ll do it nothing is too dumb ,0
803, forbestech was a fantastic investment but what will be its future how will aapl beat aapl ,1
3674,why morgan stanley is negative on apple and sector aapl http t co warhey ueh,1
2085,if were like would have been released already bb is not playing catch up they have time to assure it s perfect ,1
960, onerepublic how look is so cute,1
3583,we need to talk ,1
631, apple tree who knows maybe the cop didn t get a cig deal senseless ,0
1073, swansonbirds it s definitely a bit frustrating as a consumer i m a big supporter,0
2428,new questions in http t co dxp rq uxd,1
1435,apple ipod class action trial to continue temporarily without a plaintiff aapl http t co vpvshoqs ,1
1161, zagkmerrick well should have a ,1
3363,studio at ft one outlet computers we need the batteries of the future now http t co astp x ket,1
79, aapl apple s iphone gained significant share in us japan germany and http t co xy btzgsvy,1
2068,i truly feel needs to do more with itunes match to make it worth it ,0
432, apple there is an issue with apple and and calls on lte dealing with both companies for weeks now,1
1672,cnbctv heads to trial http t co d afg lqiy,1
776, duns apple your definition of is warped for the useless corporate speak ,0
401, apple running sporadically hangs doesn t seem to be when running any app in particular sometimes none run and it hangs ,0
890, lihdior fuck wrong witchall niggas ,0
628, apple to host free workshops to take the mystery out of coding cnet http t co visjpcqmyp,1
3320,so wouldn t fix my phone and claims that i didn t tell them to screen was fucked ,0
1178, simple rules for young designers from legendary designer susan kare via http t co nlzn m fjg,1
1758,don t worry you can crash anything not even can stop you,1
355, claims tht its open access devpt platform goes beyond either healthkit or http t co izsq vvfl,1
2746,rt we need an eye rolling emoji pronto ,1
5, aapl apple unveils new ipad air ads http t co xcstkcpqwo via http t co kkuuqbhk q,1
383, anna cochrane shouldn t you be out walking anna pick me up a iphone g while you re there i can dm an address ,1
1987,how apple became one of the greenest companies in america http t co em tloctxd ,1
2010,how to save a ton of money when you buy your next via http t co x kxhbv e,1
361, emilymahon shut the hell up,0
1117, thats annoying they never get stuff right the first time ,0
2339,media reports say that is hiring pros from the fashion and retail industry is fashion http t co ivwpwzgup ,1
1903,guys at is this serious full of stupid and ugly bugs feeling cc http t co mjc ssje,0
3065,rt rumoured looks very similar to a certain http t co njkstb rjf,1
3734,you ll be able learn how code for free next week at your nearest store http t co fuecicpn z,1
880, kellyhclay drops the pos idea and replaces them with veriphone products,1
58, aapl apple heads to trial with steve jobs as a witness http t co qq xcpjptk,1
411, apple my iphone which has been sitting quietly for a year in a protective case just split open at the back http t co pyohjiug ,0
1234,all in the wrist devs embrace future of apple watch apps aapl http t co fuklqn j g,1
744, carlquintanilla for all the coverage we re all so deeply invested in this one stock in my biz you can t ignore it ,1
2056,i love between amp i earned miles during the sale ,1
2045,i hate you so much ,0
1025, samsung is way better than ,0
3010,rt am and battery die ,0
582, apple patents active fall protection system that shifts iphones in midair http t co umvw neojc,1
3591,we re at ciosynergy giving away visit and http t co sralpfxdkz http t co dedirtiabc,1
3609,what the hell why did lucy s songs just delete off my phone i hatw you ,0
489, apple fix os x please ,0
1109, thehill obviously part of the left s multi talented super successful gays in business agenda ,1
302, diag and support suck a lot it says connect server try again then not found http t co aryybxodox,0
3402,that would be brilliant it s sad doesn t allow mozilla s better engine ,0
1126, tschwettman what about m e,1
2178,is apple fairly valued at ,1
2260,justice department cites th century federal law to get to unlock iphones http t co eth qpaiom,1
3429,the customer service from is the best in for years having and enjoying their products i have zero complains ,1
784, elubow probably thanks shipping carrier,1
2531,reminiscing on the first low cost computer which out of the box you didn t have to be a geek to use http t co yh mvtfznk ,0
2495,photo amazing customer service today utc store i worked form the store for several hours on http t co tlhm p z ,1
1404,apple intraday comments last update premium users http t co g tedlcb z,1
638, apple ur products are shit they break ur ruining my life,0
1831,foxbustv is it time to start buying http t co ,1
225, iphone c release date and images release a http t co boa ohs b,1
2397,my phone is plugged in and losing battery ,0
3301,seems like is going downhill when they say need a new battery due to charges over months to change ,0
1369,apple inc ceo donates k pennsylvania school district http t co gkkgwuasr ,1
1255,another shot at the best names in electronics day of our brings you lg amp http t co p xstsjkfh,1
1620,bring back the tap to tweet ,1
2493,perfome pie http t co ehsgvdej n,1
1082, you can ,1
3557,ur minute has been about minutes http t co tinvuqnyam,0
2042,i hate my phone i can t use it it s gone completely silent and if i were to call i would get even less help than i get now ,0
1623,but i m beyond thankful for the help gave me today computer was defective and they replaced it while i just payed the difference,1
62, aapl apple inc international business machines corp exxon mobil corpora http t co xwphhpa c,1
659, apple why the fuck when i leave my charger at home do i gotta start sending my goodbye texts at am ,0
2677,rt apple fibonacci levels intraday update aapl http t co b peb edkq,1
2583,rt my phone died on what the fuck is this,0
206, former exec sentenced to one year in prison for selling http t co ebydsh ufv ,0
3417,the year old who down has nabbed backing from a star http t co poqfgoevsu,1
1249,and how about kids do parents need to monitor the power cords daily to make sure they are still safe ,0
1886,got new cases http t co eit tsudcu http t co bpaoylimcr,1
654, apple why is flag next to delete in email wouldn t it make more sense next to mark as unread on the other side accidentally deleting,0
992, optionmonster imho is going lower no reason not to no bottom here also btw is going ,1
1267,apple fibonacci levels intraday update aapl http t co rzuiwcd n,1
994, panic good call i thought was going to compete with dropbox etc is a bad sign like my macpro std gb hd,1
1317,apple announces of code campaign for students offers free programming workshops in december http t co ojmtxos a ,1
957, onerepublic gosh is that all computer things doesn t make trouble to the flight i am worried ,1
2265,knock for iphone now lets you lock as well as unlock your mac via bluetooth http t co vkkauvargg ,1
2747,rt jobs emails featured in apple ipod u s antitrust trial http t co kukwablvtp,1
164, apple inc is catching up on supply but still lagging demand motley fool http t co qi wh yh ,1
370, afrobugeisha how if i m an apple supporter,1
2007,how do u even get lasagna and laryngitis mixed up wtf ,0
868, jmroubinek i wish would do something similar its almost worth switching to samsung for it,0
870, jon favreau movie so original amp well executed me of the days steve jobs dreaming up and then created the ,1
2609,rt of upgrading to twice http t co du mpaw ri it s not for everyone ,0
441, apple job s garage myth iphone c speculation http t co kz zjxqhf,1
1532,apple dec daily profit sh weekly profits of sh http t co r rmuuno,1
2562,rt looking down on the crazy george street in the rain from the genius bar http t co ,1
2571,rt so which suppliers carry brandable compliant adapters ,1
2263,kantar iphone helps apple gain share over android iphone c outselling iphone plus in us aapl http t co yll kokn,1
1738,debunking one of biggest myths http t co zljmuapqv ,1
602, apple s new patent against broken screens http t co l kqqhv dp http t co lvmnzpg f,1
1191, believe won t be available this christmas survey says http t co arjdahf bm via ,1
1936,here s next great what will be apple s primary source of revenue in http t co y gvyzcyhp ,1
214, ios upgrade creates problems not impressed anyone else ha,0
3018,rt best buy cuts apple inc ipad prices to boost sales http t co ca m oiayb ,1
1340,apple continues beefing up digital audio expertise by hiring dana massie from audience aapl http t co st llinwy,1
3371,technical observation of the day the dma on apple aapl http t co ej mbv f,1
2443,no don t me tomorrow just f ing me what the updates you want to install actually are ,0
3345,steve jobs deposition video shown in ongoing ipod class action lawsuit http t co jhvhyaua p ,1
3280,rt poor dudes out here gettin slandered because he wants to argue against ,1
1581,barclay s analyst joins crowd and increases price forbes http t co z dwxecpe,1
997, paulyarns i agree about apple customer service is based on condescending employees treating,0
1509,apple watch s high priced fashion focus on the mark survey says aapl http t co zyrn tfis ,1
1696,could apple inc sell million apple watches in aapl http t co dk rq u e,1
1257,anti trust expert peter carstensen of can discuss case in california federal court http t co lclhnqmokf,1
3310,silver finish places second before it s even out http t co laee uy qd via ,1
2504,please replace java for another language follow example innovate ,1
1048, smileforgoogle yknow that time it restarted and then my phone got blue screen lol wtf,0
2218,it s not even programs i use http t co end phugu,1
1734,dear i love my iphone plus a lot it is a great achievement but why is it the only iphone i ve had that reboots x day ,1
1694,cool stuff found posts air change commercial with focus on new ways of doing http t co ufiv qao,1
2514,product hunters functional and whimsical keyboards for forbes http t co yugbzfhsnb,1
2676,rt apple fibonacci levels intraday update aapl http t co jdrjlbym ,1
3494,this new phone sucks i can t make it stand up or on its side i can t wait for the iphone fix this you dingles,0
3480,they really need a emoji ,1
1895,great fcp x update from today will do nicely editing,1
1856,fuck you too ,0
2409,my iphone nightmare http t co gs wnwmawu http t co ytomvsjfvx,0
43, aapl alabama anti discrimination bill to be named after apple s cook http t co tsfvyxvxeu,1
673, apple yo these new headphones i got with my dont work so send me some new ones ill dm u my address,0
1085, at this point it s not anger it s simply a manifestation of stupid ,0
3424,the best designed in the world according to http t co http t co ev ukwiecz,1
1450,apple is warming up social media apple is hiring a social media guru in l a will finally tweet her http t co heyoryycoy,1
71, aapl apple says plaintiffs ipods not covered by suit http t co v eyzqfdq,1
1881,gopro inc has potential become apple inc of drone market http t co hnkzs kawx ,1
3567,warning if you buy an iphone s unlocked from iphone you cannot use it on verizon network,0
333, says security measures have cut phone theft by nearly percent in some places http t co w uk md ,1
324, is the iphone y k compliant ,1
1538,apple s first patent reassignment from primesense buy hints at d mapping on apple iphone aapl http t co n kjtmu g,1
794, fazenikan did u overheat it,1
2683,rt apple fibonacci levels last intraday update aapl http t co eyv mibko,1
1010, radbarakat apple support have a i ,1
2179,is apple inc losing the billion ed market aapl http t co loldoty jt,1
3456,the slow food movement is a metaphor for the platform strategy of apple on iphone ipad and apple watch ,0
1754,does anyone know if theres a with a old fashioned clock face grandma needs a watch ,1
3727,you just did too much you asshole get your shit together ,0
499, apple get cha shit together and fix my phone ,0
2744,rt planning to open istores in india http t co hhrlhfcdup,1
2731,rt wow what a sunrise this morning http t co niaotlavy,1
850, jakeflem we ve previously had to deal with this issue it s really annoying to reset the nvram http t co eoiaf wo f,0
3723,yosemite is dope except for that one glitch that moves the message window all over the place ,1
3471,thestreet gets price boost on back of strong demand http t co f qtgibddq,1
1236,all of my apple product chargers look like that not you gotta be kidding me http t co lxkhinwd ,0
2418,new inch must make it http t co wdiezlndcm ,1
2475,opening a new non apple device reminds what an amazing job does with out of box experience ,1
3458,the u s government accepts donations to reduce the national ,1
266, stevejobs emails show how he wanted smear competitors as http t co byj zr av,0
2415,new iphone won t smash b c its sensor detects fall amp over before impact http t co ee mo tn,1
2021,huge iphone sales put apple on course for record quarter aapl http t co vimb qiei,1
2346,more fuck you ,0
183, apple and worldwide http t co vumguw yqr,1
3337,sprint offering to halve wireless bills for customers switching from at amp or verizon ios blog http t co chvmx ehiy ,1
846, jakeflem some info for you http t co j fnvb e http t co m pclpvggk http t co j wyhxxx hope it helps ,1
1889,got to hear about the new patent by apple and that s a quite innovative idea mobile screen will never break in future,1
2427,new products services lead barclays to hike apple price target by to aapl http t co lqgxadbg c,1
531, apple i know you have the most secure os but you ve lost me as you don t have a version for us travelling types,0
2071,i went from to ,1
2228,i ve been waiting months for my iphone what the fuck ,0
1923,have apple s ipad sales peaked http t co zdutviv ys,1
1363,apple inc anti laws class action lawsuit and viable http t co ipjzo wy a ,0
1965,hey why won t you let me facetime claire stop being rude,0
1186, is a potential warren buffett stock and it isn t motley fool http t co bnscg i yo,1
1163, zdarsky bad eyesight is for pc and android users ,1
3269,rt hey the battery of my iphone drops down like my cock when i see a gay porn on the xvideos main page fix this shit ,0
241, mkt final for december http t co xxkx fgtou,1
3588,well thanks for losing over of my songs off my classic and now every photo i had on my itouch was deleted ,0
3308,shout out to for making crappy iphone alarms that don t go off and make me late for my final ,0
250, new with in screen for http t co cbdpx qcvh,1
110, aapl in emails steve jobs determined to keep ipod apple only http t co zv npeshcw,1
2608,rt transpartent resin infused structures by http t co yd g wk ,1
449, apple china unicom lead http t co slrkhghdpe,1
1571,autocorrect changes actual words to other words but when i spell an actual word wrong it doesn t correct it fuck yall niggas ,0
2695,rt apple to launch inch iphone next year aapl http t co x lzm boom,1
2696,rt apple to support a new franchise of ios stores in india aapl http t co lcaqyft,1
394, apple to be namesake of alabama anti discrimination bill http t co s q v mi,1
3013,rt why are your phone chargers so terrible fix this ,0
1383,apple inc is doomed aapl dropped by currently priced at http t co k pkmj sbf ,0
2162,iphone battery life takes the piss sort it out iphone http t co f quv dut,0
243, music is always part of my life and everyday is also as important as music to me http t co oaef iivrm,1
126, aapl outside the box how things changed this week good jobs and bad jobs http t co zs k sorkl,1
2347,morgan stanley sells inc but stock still a buy stock news morgan stanley sells apple inc http t co q ltf uz,1
1624,but when is gonna let me italicize,1
3464,there is no presales in india toll free keeps ringing o yes either you need it or you don t need why ask anything ,1
354, adds some heavyhitting partners to rival via http t co vbz l ux ,0
3651,why do you hate business so much ,0
2246,just another reason to hate ,0
2581,rt fuck wrong witchall niggas ,0
202, edgf jane horvath director of global is speaking,1
2138,interesting apps pop up when you search for on the app store,1
1900,great time had store on friday amp his amp a http t co n rdhxm op ,1
1618,breaking protestors occupy story in x live http t co y rrbx sc,1
2126,in other news raised at bill pre has bill in cash good times in the valley no wait http t co uup bdobe ,1
952, onerepublic aww look tht u have a lot of work guys good luck ,1
2251,just got the iphone ,1
149, apple admits it deleted songs purchased through competing stores from ipods http t co ydlxi tj ,0
814, google pay your taxes in our country http t co js k jv sj,0
854, true silly iphone get your life together,0
3259,rt wish we could prosecute the admin for violation of privacy and criminal search and seizure,0
2274,latest apple products leading in efficiency http t co khenlvt fj ,1
1268,apple fibonacci levels intraday update aapl http t co jntfmo i,1
336, ipad update to ios is an absolute disaster nothing works right anymore safari crashes constantly ,0
1710,day my st ipod from had stopped workin years ago just came back to life wtf http t co oiqlrf ke ,1
3390,thanks for the preview of your smartwatch http t co wagn sdnc,1
20, aapl proud to be part of next week events at apple retail stores around the world http t co ag ki zdvf,1
705, appleofficialll i can t say enough about how awesome apple has been already processed a reorder for the phone that ups lost,1
174, apple questions whether ipod class action suit can proceed as case may lack genuine http t co cy gun dfh ,1
1482,apple questions plaintiff ipod purchase dates in ongoing class action lawsuit ios blog http t co nw ntya gj ,1
1164, zoebread dps developments welove and that new screen ohai,1
2257,just updated my ram to gb you guys are like shallow gf s all the money but dammit you look good ,1
150, apple bears get paid as put contracts double amid drop http t co rmbm mg ej,1
3530,translate your app success story from member go global with http t co ,1
347, in streaming media sales http t co dwuvailfr,1
777, dustynmichael got enough products http t co nts ebixal,1
1280,apple fibonacci levels intraday update aapl http t co fgn tdxhym,1
2407,my spellcheck makes me wanna stab somebody that isn t the fuckin word i wanted to use ,0
3615,when this iwatch finna drop fam ,1
1554,apple s pt raised by canaccord genuity to buy rating http t co aapl ,1
1783,f u ur geniuses can suck my ass ,0
301, via fc apple is warming up social media apple is hiring a social media guru in l a will finally twe http t co ipqowry em,1
2036,i got faith in you don t let me down help me help you,1
658, apple why isn t there an otter emoji,1
2726,rt my calls wit amanda keep ending fix urself,0
1146, wearsy on apple you seem to need a us bank card to do that i hate you,0
2704,rt iphone makes ios a success in the uk but android fights back in japan aapl http t co lxuypkvhd ,1
1052, sparkingari ikr but u dont need to bc i ll hopefully buy one on christmas if my grades are ,1
2016,http t co hpc p rhva need help on using your amp http t co k fqhpazmc,1
1224, after school app gets pulled by i say good cyber bullying is awful http t co ,1
1678,companies i admire it must rocks to work there because mainly of their boss and their culture ,1
117, aapl is it time to start buying apple http t co nulnjlbag,1
2723,rt dear replace my phone my battery sucks,0
444, apple an drop protection mechanism changes device http t co w x p cgaw,1
1933,here we go again wit this for items to copy shit on itunes y all pissing me off ,0
1584,bbc news evidence by late steve jobs to be used in music trial http t co i dxppuwjy,1
211, hshdsh via bought borrowed and stole http t co gal ardfj ,1
2497,photo love ios http t co fidj fxhdv,1
3687,will i become immune to bugs like you become like the people you spend most of your time with ,1
1904,guys my mac is flipping out flashing folder with question mark at start up what do i do ,0
2557,rt when you request custom gift wrap from don t do it http t co doena e nx,0
1176, gb air wifi free shipping via http t co ,1
1614,bose products could be to apple store shelves next week http t co cmkapshb ,1
2158,iphone plus makes up of large phone sales as iphone leads ios devices ios blog http t co h u zipg ,1
965, onerepublic i would have never had that picture in my head of a private plane for sharing x,1
2035,i get the storage almost full notification literally every minutes chill ,0
1111, thehill i cite the th amendment as a retort,1
1864,gave over k for a computer weeks ago and still nothing awesome ,0
2503,please make the green button do what it used to do full screen is the exception not the rule ,0
1702,dan nathan how profit from apple inc aapl stock http t co jztjvsjkhj ,1
2037,i had the facebook app but my dumbass deleted it and now i can t redownload cause it says i need ios suck my fucking ass ,0
175, apple releases ios with fixes for bugs including ringtone issues http t co imk ak wzr ,1
3017,rt nice if the actor had on an iwatch he d have the entire suite of products ,1
2502,playing with somebody needs to show them how to make proper axis labels http t co hjwiye mzb,0
331, rules amp blow ,1
770, dimu ever help for wetin lol,1
1656,c mon i m ready to buy your watch hurry up http t co oe ntvnac ,0
82, aapl bloomberg law billion antitrust suit against apple audio http t co gia f wr ,1
1808,first employee remarkable odyssey of bill fernandez via http t co kj gdymrqw,1
2002,how long does it really take for a phone to ship smh,0
1086, blacks of pop murder more people per yr than whites of pop is what police deal with ,1
2262,kantar iphone helps apple gain share over android iphone c outselling iphone plus in us aapl http t co l ofam pei,1
1703,dan nathan how profit from apple stock aapl http t co wkeoflid q,1
3502,tim cook shows off apple watch to chinese internet official discusses security issues http t co nrcjqs m ,1
224, iphone trigger spike in sales worldwide http t co lrknct co via http t co f eewyukc ,1
3493,this is why i would never want to own an device but sadly people seem to be okay with that http t co ek vesbigs,0
1711,day of our ensure you stay in touch on the go we have the best brands incl amp http t co uhbveh r f,1
417, apple mobilefirst enterprise collaboration online game changer http t co fsovxciit http t co qwcuhsq u,1
995, patrickpaltrow between and ,1
2176,is apple aapl stock all it is hyped be or just another dot com disaster http t co ntpfzryuuq ,1
2480,our buddies are at eye level in the store http t co r j yz g u,1
3664,why is it so difficult to qualify for a appointment at these days ,0
1931,here are the top apps for the iphone according to http t co gzv trny ,1
3713,yes i love when none of my stuff works you ,0
97, aapl google tops apple feeds foxbusiness com r foxbusiness video dbuio m m ,1
2390,my notifications are so messed up thank u ,0
188, applecare only cares about beware of false prophetsi mean profits ,0
871, juicy potato tbh annoyed with apple s shit at the moment,0
1211,a orwellian vision of the world once pay takes over by http t co oedbhaki z,1
2064,i really want to drop the word book from products so employees will start treating machines with more care aka stop dropping them ,1
956, onerepublic follow meeee,1
1380,apple inc is catching up on iphone supply but still lagging demand http t co b ud o a ,0
49, aapl apple could face iphone shortages next year http t co rgajf tpx,1
1147, weightsmate total nightmare and they take a big slice of the cake ,0
926, mzhoov be warned if consuela gets a quincenera emoji better get a juke session emoji ,1
3423,the best link of the day on ceo mark zuckerberg goes after appadvice http t co cdnzcthrla,1
2669,rt or you could learn to take pictures off the internet better,0
